input_size,block_size,merge_s-1,merge_s-22,merge_s-57,merge_s-101,merge_s-611
5000,1,29804,29804,29804,29804,29804
5000,500,47778,47714,47735,47687,47698
5000,1000,50189,50240,50246,50348,50253
5000,2500,52829,52709,52705,52685,52761
5000,5000,55245,55207,55210,55255,55212
15000,1,102252,102252,102252,102252,102252
15000,1500,166901,166789,166958,166820,166828
15000,3000,174205,174337,174334,174209,174337
15000,7500,181746,181795,181832,181789,181860
15000,15000,189241,189446,189246,189224,189368
25000,1,178756,178756,178756,178756,178756
25000,2500,296667,296469,296471,296730,296545
25000,5000,309100,309053,309001,309163,309060
25000,12500,321651,321510,321519,321543,321590
25000,25000,334056,334099,334032,334077,334160
35000,1,260100,260100,260100,260100,260100
35000,3500,432073,431959,432198,431975,432069
35000,7000,449352,449523,449481,449492,449354
35000,17500,467011,467011,467050,467149,466832
35000,35000,484406,484439,484465,484555,484325
45000,1,339340,339340,339340,339340,339340
45000,4500,572149,572737,572318,572324,572185
45000,9000,594770,594849,594780,594672,594831
45000,22500,617373,617149,617395,617265,617016
45000,45000,639569,639706,639830,639797,639610
55000,1,424028,424028,424028,424028,424028
55000,5500,715338,714938,714911,714997,715014
55000,11000,742527,742704,742546,742546,742675
55000,27500,770212,770088,770155,769997,769969
55000,55000,797512,797520,797673,797483,797368
65000,1,518092,518092,518092,518092,518092
65000,6500,859740,859606,859552,859647,859677
65000,13000,892172,892015,892140,891933,892201
65000,32500,924563,924572,924776,924542,924564
65000,65000,957029,956835,957010,957036,957083
75000,1,594612,594612,594612,594612,594612
75000,7500,1008726,1008639,1008486,1008755,1008493
75000,15000,1046144,1046426,1046319,1046202,1046138
75000,37500,1083834,1083619,1083496,1083633,1083482
75000,75000,1121144,1121248,1121167,1121178,1121281
85000,1,678956,678956,678956,678956,678956
85000,8500,1158931,1159018,1158982,1158970,1158652
85000,17000,1201532,1201786,1201446,1201715,1201358
85000,42500,1243868,1243888,1244032,1243784,1244084
85000,85000,1286259,1286449,1286402,1286538,1286245
95000,1,768708,768708,768708,768708,768708
95000,9500,1310291,1310273,1310221,1310043,1310586
95000,19000,1357568,1357577,1357631,1357725,1357871
95000,47500,1404898,1405224,1405292,1405058,1405115
95000,95000,1452654,1452977,1452807,1452814,1452793
105000,1,857644,857644,857644,857644,857644
105000,10500,1463069,1463078,1463353,1463231,1463249
105000,21000,1515637,1515638,1515433,1515559,1515760
105000,52500,1568057,1568242,1567770,1568018,1568063
105000,105000,1620589,1620588,1620482,1620671,1620819
115000,1,952444,952444,952444,952444,952444
115000,11500,1617167,1617252,1617086,1617219,1616976
115000,23000,1674262,1674673,1674705,1674726,1674615
115000,57500,1731995,1732046,1731860,1732336,1731921
115000,115000,1789508,1789684,1789245,1789715,1789424
125000,1,1048124,1048124,1048124,1048124,1048124
125000,12500,1771835,1771748,1771627,1771674,1771856
125000,25000,1833974,1834350,1834181,1834591,1834161
125000,62500,1896768,1896702,1896608,1896365,1897001
125000,125000,1959225,1959104,1959323,1959108,1959592
135000,1,1141188,1141188,1141188,1141188,1141188
135000,13500,1928265,1928622,1928215,1928055,1928531
135000,27000,1995846,1996274,1995855,1995566,1996014
135000,67500,2063214,2063156,2063390,2063248,2063246
135000,135000,2130807,2130578,2130597,2130558,2130925
145000,1,1221716,1221716,1221716,1221716,1221716
145000,14500,2087567,2087545,2087208,2087438,2087538
145000,29000,2159940,2160166,2160008,2160135,2159772
145000,72500,2232665,2232761,2232346,2232475,2232584
145000,145000,2304890,2304895,2305174,2305050,2305028
150000,1,1264224,1264224,1264224,1264224,1264224
150000,15000,2167230,2167781,2167451,2167437,2167342
150000,30000,2242057,2242829,2242461,2242169,2242037
150000,75000,2317598,2317695,2317349,2317257,2317486
150000,150000,2392306,2392202,2392615,2392534,2392203
300000,1,2678448,2678448,2678448,2678448,2678448
300000,30000,4634218,4634950,4634594,4634379,4634449
300000,60000,4784170,4784217,4784778,4784287,4784994
300000,150000,4934548,4934387,4935211,4934706,4934807
300000,300000,5084528,5084642,5084735,5085076,5084829
600000,1,5656896,5656896,5656896,5656896,5656896
600000,60000,9869223,9869218,9869546,9868812,9869435
600000,120000,10169853,10169186,10169338,10169781,10170150
600000,300000,10468984,10468936,10469873,10469809,10469015
600000,600000,10768301,10769697,10768852,10769649,10769045
1200000,1,11913792,11913792,11913792,11913792,11913792
1200000,120000,20938962,20938992,20938319,20938551,20939041
1200000,240000,21539505,21538351,21537911,21538549,21538766
1200000,600000,22137444,22138424,22138367,22139161,22137881
1200000,1200000,22739792,22737418,22739191,22738601,22739872
2400000,1,25027584,25027584,25027584,25027584,25027584
2400000,240000,44278141,44277842,44277603,44277248,44277515
2400000,480000,45476741,45475479,45476966,45477080,45475482
2400000,1200000,46678314,46676411,46678259,46677218,46677948
2400000,2400000,47876692,47877027,47877444,47876451,47877669
4800000,1,52455168,52455168,52455168,52455168,52455168
4800000,480000,93352805,93351061,93353434,93354544,93354243
4800000,960000,95753698,95753448,95754629,95752029,95752375
4800000,2400000,98154535,98152893,98154412,98153501,98155680
4800000,4800000,100554701,100555093,100554194,100556401,100553351
